time,pitch,roll,yaw,ax,ay,az,gx,gy,gz,x,y,vx,vy
1732389384168,3.71661,-2.84501,-132.899,-0.054285,-0.0699511,0.985102,-0.00537109,-0.0935059,0,-0.00195312,0.00195312,0,0
1732389384208,3.72115,-2.83035,-132.899,-0.0468922,-0.0623198,0.993481,-0.000244141,0.154053,0,-0.00195312,0.00195312,0,0
1732389384277,3.72316,-2.8289,-132.899,-0.0466776,-0.0661945,0.989441,-0.065918,-0.0267334,0,-0.00195312,0.00195312,0,0
1732389384341,3.72363,-2.82407,-132.899,-0.0544987,-0.0660763,0.989141,-0.00488281,-0.0285645,0,-0.00195312,0.00195312,0,0
1732389384341,3.73917,-2.83361,-132.899,-0.0468063,-0.0661974,0.993395,0.173828,-0.218872,0,-0.00195312,0.00195312,0,0
1732389384396,3.73328,-2.84177,-132.899,-0.0466776,-0.0661945,0.989441,0.0577393,0.0302734,0,-0.00195312,0.00195312,0,0
1732389384459,3.72919,-2.85921,-132.898,-0.0506315,-0.070015,0.99316,-0.0637207,0.0322266,0,-0.00195312,0.00195312,0,0
1732389384459,3.72569,-2.83629,-132.898,-0.0504599,-0.0661335,0.985338,-0.00805664,-0.217285,0,-0.00195312,0.00195312,0,0
1732389384525,3.72353,-2.82661,-132.899,-0.0467634,-0.0623178,0.989527,-0.0654297,0.0380859,0,-0.00195312,0.00195312,0,0
1732389384587,3.71512,-2.8224,-132.898,-0.0468922,-0.0623198,0.993481,0.114868,-0.158203,0,-0.00195312,0.00195312,0,0
1732389384587,3.71971,-2.83022,-132.898,-0.0467634,-0.0623178,0.989527,0.0545654,-0.158325,0,-0.00195312,0.00195312,0,0
1732389384649,3.72289,-2.8331,-132.898,-0.0510588,-0.0622654,1.00124,-0.0637207,-0.03479,0,-0.00195312,0.00195312,0,0
1732389384708,3.71999,-2.84877,-132.898,-0.0546274,-0.0660791,0.993095,-0.00695801,-0.154419,0,-0.00195312,0.00195312,0,0
1732389384708,3.71141,-2.85772,-132.897,-0.0508022,-0.0622606,0.99333,-0.0595703,0.216675,0,-0.00195312,0.00195312,0,0
1732389384770,3.69931,-2.86319,-132.897,-0.0506744,-0.0622587,0.989378,0.055542,-0.095459,0,-0.00195312,0.00195312,0,0
1732389384770,3.71347,-2.86279,-132.897,-0.0468063,-0.0661974,0.993395,-0.114746,0.397217,0,-0.00195312,0.00195312,0,0
1732389384833,3.7168,-2.86444,-132.897,-0.0467634,-0.0623178,0.989527,0.0585938,0.0932617,0,-0.00195312,0.00195312,0,0
1732389384895,3.69279,-2.84575,-132.897,-0.0467205,-0.0584383,0.985659,-0.0090332,-0.213257,0,-0.00195312,0.00195312,0,0
1732389384895,3.71144,-2.85873,-132.897,-0.0467634,-0.0623178,0.989527,0.0629883,0.21106,0,-0.00195312,0.00195312,0,0
1732389384958,3.72063,-2.84624,-132.898,-0.0507164,-0.0545015,0.985594,-0.125244,-0.0308838,0,-0.00195312,0.00195312,0,0
1732389385021,3.7169,-2.83947,-132.898,-0.0506744,-0.0622587,0.989378,-0.00280762,0.0302734,0,-0.00195312,0.00195312,0,0
1732389385021,3.72293,-2.84029,-132.898,-0.0546703,-0.0699587,0.996964,-0.000732422,0.0891113,0,-0.00195312,0.00195312,0,0
1732389385086,3.71222,-2.83838,-132.897,-0.0504599,-0.0661335,0.985338,-0.0684814,-0.0834961,0,-0.00195312,0.00195312,0,0
